Gunung_ID,Nama_Gunung,Ketinggian_MDPL,Lokasi_Kabupaten_Utama,Tingkat_Kesulitan_Pendakian,Estimasi_Waktu_Pendakian_Jam,Harga_Tiket_Masuk,Rating_Rata_Rata,Deskripsi,Keunikan_Pemandangan,Fasilitas
1,Semeru,3676,Malang,Sulit,18,100000,4.8,Gunung tertinggi di Pulau Jawa dengan pemandangan puncak Mahameru dan danau Ranu Kumbolo yang ikonik. Treknya panjang dan menantang.,Puncak Mahameru;Danau Ranu Kumbolo;Padang Lavender Oro-oro Ombo,Basecamp;Toilet;Warung;Porter
2,Lawu,3265,Magetan,Sulit,12,15000,4.5,"Memiliki jalur pendakian yang curam dan panjang, dikenal dengan peninggalan purbakala di sepanjang trek dan pemandangan sunrise di puncak.",Puncak Ogal-agil;Situs Purbakala;Hutan Cemara,Basecamp;Sumber Air Terbatas
3,Bromo,2329,Malang,Mudah,1,100000,4.9,Bersebelahan dengan Arjuno. Dikenal dengan kawah belerangnya yang aktif dan pemandangan para penambang belerang tradisional.,Kawah Belerang Aktif;Puncak Kembar,Basecamp;Warung di Pos
4,Panderman,2045,Batu,Sedang,6,15000,3.8,Memiliki kaldera terbesar di Pulau Jawa dan trek menuju puncak sejati yang memerlukan peralatan panjat tebing. Sangat ekstrim.,Kaldera Raksasa;Puncak Sejati Ekstrim,Basecamp;Wajib Pemandu;Porter
5,Kawi,2551,Malang,Sulit,10,10000,4,"Memiliki trek terpanjang di Pulau Jawa. Melewati padang savana, danau, dan reruntuhan pura kuno. Memerlukan fisik dan logistik super.",Trek Terpanjang;Danau Taman Hidup;Padang Savana Cikasur,Basecamp;Wajib Lapor;Sumber Air
6,Ijen,2386,Banyuwangi,Mudah,5,30000,4.7,Gunung yang sarat dengan nuansa mistis dan sejarah. Terdapat warung legendaris di dekat puncak. Trek cukup jelas.,Warung Mbok Yem;Puncak Hargo Dumilah;Kawah Candradimuka,Basecamp;Warung;Toilet
7,Kelud,1731,Blitar,Mudah,6,15000,4.2,"Dikenal sebagai 'miniatur Semeru' atau gunung 'Pakuwuan'. Treknya relatif singkat namun terus menanjak, banyak situs purbakala.",Puncak Pawitra;Situs Candi;Pemandangan Kota,Basecamp;Warung;Area Parkir Luas
8,Argopuro,3088,Bondowoso,Sulit,45,37500,4.3,Terkenal di seluruh dunia karena fenomena api biru (blue fire) di kawahnya dan danau kawah asam yang indah. Trek landai dan lebar.,Api Biru (Blue Fire);Danau Kawah Asam;Penambang Belerang,Basecamp;Toilet;Warung;Ojek
9,Arjuno,3339,Malang,Sulit,15,10000,4.4,"Ikon pariwisata Jawa Timur. Mudah diakses, bisa dengan Jeep. Pemandangan lautan pasir dan sunrise dari Pananjakan sangat memukau.",Lautan Pasir;Kawah Aktif;Sunrise Pananjakan,Jeep;Warung;Toilet;Penginapan
10,Baluran,1247,Situbondo,Mudah,6,20000,3.5,"Gunung yang ramah bagi pemula, terletak di kota Batu. Dari puncaknya terlihat pemandangan gemerlap lampu kota Batu dan Malang di malam hari.",Pemandangan Kota (Citylight);Hutan Pinus,Basecamp;Warung;Toilet
11,Batok,2440,Malang,Sedang,2,100000,3.9,Memiliki padang savana yang luas di puncaknya mirip dengan Oro-oro Ombo di Semeru. Treknya cukup menantang dengan tanjakan yang stabil.,Padang Savana Luas;Hutan Lumut,Basecamp;Sumber Air
12,Anjasmoro,2282,Mojokerto,Sedang,5,20000,3.7,Wisata gunung berapi yang sudah sangat tertata pasca letusan. Pengunjung bisa mencapai area dekat 'anak Kelud' dengan mudah.,Anak Gunung Kelud;Jalan Misteri;Pemandian Air Panas,Area Parkir;Warung;Toilet
13,Butak,2868,Blitar,Mudah,12,10000,3.6,"Lebih dikenal sebagai tempat wisata religi dan pesugihan. Namun, memiliki jalur pendakian ke puncak sejati yang jarang didaki.",Wisata Religi;Hutan Rapat,Area Parkir;Warung
14,Liman,2563,Ponorogo,Sedang,18,15000,3.4,Gunung dengan puncak yang cukup tinggi namun jarang dijamah. Medannya cukup sulit dengan hutan yang masih lebat dan alami.,Air Terjun;Hutan Alami,Basecamp Sederhana
